Road Surface - Paved (Asphalt/Concrete),ExteriorFeature,exterior_feature,exteriorfeature56,"{table: :exterior_feature, code: ' exteriorfeature56', label: 'Paved (Asphalt/Concrete) '},","'exteriorfeature56' => 'Road Surface - Paved (Asphalt/Concrete)',",,,,,,,
Road Surface - Unpaved (Dirt/Gravel),ExteriorFeature,exterior_feature,exteriorfeature57,"{table: :exterior_feature, code: ' exteriorfeature57', label: 'Unpaved (Dirt/Gravel) '},","'exteriorfeature57' => 'Road Surface - Unpaved (Dirt/Gravel)',",,,,,,,
Leases and Permits - BLM,ExteriorFeature,exterior_feature,exteriorfeature59,"{table: :exterior_feature, code: ' exteriorfeature59', label: 'BLM '},","'exteriorfeature59' => 'Leases and Permits - BLM',",,,,,,,
Leases and Permits - State,ExteriorFeature,exterior_feature,exteriorfeature60,"{table: :exterior_feature, code: ' exteriorfeature60', label: 'State '},","'exteriorfeature60' => 'Leases and Permits - State',",,,,,,,
Leases and Permits - Forest Service,ExteriorFeature,exterior_feature,exteriorfeature61,"{table: :exterior_feature, code: ' exteriorfeature61', label: 'Forest Service '},","'exteriorfeature61' => 'Leases and Permits - Forest Service',",,,,,,,
Leases and Permits - Private,ExteriorFeature,exterior_feature,exteriorfeature62,"{table: :exterior_feature, code: ' exteriorfeature62', label: 'Private '},","'exteriorfeature62' => 'Leases and Permits - Private',",,,,,,,
Leases and Permits - None,ExteriorFeature,exterior_feature,exteriorfeature63,"{table: :exterior_feature, code: ' exteriorfeature63', label: 'None '},","'exteriorfeature63' => 'Leases and Permits - None',",,,,,,,
Leases and Permits - Other-See Remarks,ExteriorFeature,exterior_feature,exteriorfeature64,"{table: :exterior_feature, code: ' exteriorfeature64', label: 'Other-See Remarks '},","'exteriorfeature64' => 'Leases and Permits - Other-See Remarks',",,,,,,,
Commercial Features - Dock,ExteriorFeature,exterior_feature,exteriorfeature65,"{table: :exterior_feature, code: ' exteriorfeature65', label: 'Dock '},","'exteriorfeature65' => 'Commercial Features - Dock',",,,,,,,
Commercial Features - Rail Spur,ExteriorFeature,exterior_feature,exteriorfeature66,"{table: :exterior_feature, code: ' exteriorfeature66', label: 'Rail Spur '},","'exteriorfeature66' => 'Commercial Features - Rail Spur',",,,,,,,
Miscellaneous - P & L/Cash Flow Available,ExteriorFeature,exterior_feature,exteriorfeature67,"{table: :exterior_feature, code: ' exteriorfeature67', label: 'P & L/Cash Flow Available '},","'exteriorfeature67' => 'Miscellaneous - P & L/Cash Flow Available',",,,,,,,
Miscellaneous - Licenses/Permits Required,ExteriorFeature,exterior_feature,exteriorfeature68,"{table: :exterior_feature, code: ' exteriorfeature68', label: 'Licenses/Permits Required '},","'exteriorfeature68' => 'Miscellaneous - Licenses/Permits Required',",,,,,,,
Miscellaneous - Seller Will Train,ExteriorFeature,exterior_feature,exteriorfeature69,"{table: :exterior_feature, code: ' exteriorfeature69', label: 'Seller Will Train '},","'exteriorfeature69' => 'Miscellaneous - Seller Will Train',",,,,,,,
Miscellaneous - Franchise,ExteriorFeature,exterior_feature,exteriorfeature70,"{table: :exterior_feature, code: ' exteriorfeature70', label: 'Franchise '},","'exteriorfeature70' => 'Miscellaneous - Franchise',",,,,,,,
Miscellaneous - Building Currently Leased,ExteriorFeature,exterior_feature,exteriorfeature71,"{table: :exterior_feature, code: ' exteriorfeature71', label: 'Building Currently Leased '},","'exteriorfeature71' => 'Miscellaneous - Building Currently Leased',",,,,,,,
Miscellaneous - Environmental Study,ExteriorFeature,exterior_feature,exteriorfeature72,"{table: :exterior_feature, code: ' exteriorfeature72', label: 'Environmental Study '},","'exteriorfeature72' => 'Miscellaneous - Environmental Study',",,,,,,,
Miscellaneous - Highway Frontage,ExteriorFeature,exterior_feature,exteriorfeature73,"{table: :exterior_feature, code: ' exteriorfeature73', label: 'Highway Frontage '},","'exteriorfeature73' => 'Miscellaneous - Highway Frontage',",,,,,,,
Miscellaneous - Main Street Frontage,ExteriorFeature,exterior_feature,exteriorfeature74,"{table: :exterior_feature, code: ' exteriorfeature74', label: 'Main Street Frontage '},","'exteriorfeature74' => 'Miscellaneous - Main Street Frontage',",,,,,,,
Miscellaneous - Soil Test,ExteriorFeature,exterior_feature,exteriorfeature75,"{table: :exterior_feature, code: ' exteriorfeature75', label: 'Soil Test '},","'exteriorfeature75' => 'Miscellaneous - Soil Test',",,,,,,,
Miscellaneous - Seller to Sign Non-Compete,ExteriorFeature,exterior_feature,exteriorfeature76,"{table: :exterior_feature, code: ' exteriorfeature76', label: 'Seller to Sign Non-Compete '},","'exteriorfeature76' => 'Miscellaneous - Seller to Sign Non-Compete',",,,,,,,
Miscellaneous - Other Structures,ExteriorFeature,exterior_feature,exteriorfeature77,"{table: :exterior_feature, code: ' exteriorfeature77', label: 'Other Structures '},","'exteriorfeature77' => 'Miscellaneous - Other Structures',",,,,,,,
Miscellaneous - Special Assessments,ExteriorFeature,exterior_feature,exteriorfeature78,"{table: :exterior_feature, code: ' exteriorfeature78', label: 'Special Assessments '},","'exteriorfeature78' => 'Miscellaneous - Special Assessments',",,,,,,,
Miscellaneous - None,ExteriorFeature,exterior_feature,exteriorfeature79,"{table: :exterior_feature, code: ' exteriorfeature79', label: 'None '},","'exteriorfeature79' => 'Miscellaneous - None',",,,,,,,
Disclosures - Yes,ExteriorType,exterior_feature,exteriorfeature53,"{table: :exterior_feature, code: ' exteriorfeature53', label: 'Yes '},","'exteriorfeature53' => 'Disclosures - Yes',",,,,,,,
Financing - Cash,FinancialTerm,financial_term,financialterm1,"{table: :financial_term, code: ' financialterm1', label: 'Cash '},","'financialterm1' => 'Financing - Cash',",,,,,,,
Financing - VA,FinancialTerm,financial_term,financialterm2,"{table: :financial_term, code: ' financialterm2', label: 'VA '},","'financialterm2' => 'Financing - VA',",,,,,,,
Financing - FHA,FinancialTerm,financial_term,financialterm3,"{table: :financial_term, code: ' financialterm3', label: 'FHA '},","'financialterm3' => 'Financing - FHA',",,,,,,,
Financing - Owner,FinancialTerm,financial_term,financialterm4,"{table: :financial_term, code: ' financialterm4', label: 'Owner '},","'financialterm4' => 'Financing - Owner',",,,,,,,
Financing - USDA,FinancialTerm,financial_term,financialterm5,"{table: :financial_term, code: ' financialterm5', label: 'USDA '},","'financialterm5' => 'Financing - USDA',",,,,,,,
Financing - Assumable,FinancialTerm,financial_term,financialterm6,"{table: :financial_term, code: ' financialterm6', label: 'Assumable '},","'financialterm6' => 'Financing - Assumable',",,,,,,,
Financing - Conventional,FinancialTerm,financial_term,financialterm7,"{table: :financial_term, code: ' financialterm7', label: 'Conventional '},","'financialterm7' => 'Financing - Conventional',",,,,,,,
Financing - WCDA,FinancialTerm,financial_term,financialterm8,"{table: :financial_term, code: ' financialterm8', label: 'WCDA '},","'financialterm8' => 'Financing - WCDA',",,,,,,,
Financing - 1031,FinancialTerm,financial_term,financialterm9,"{table: :financial_term, code: ' financialterm9', label: '1031 '},","'financialterm9' => 'Financing - 1031',",,,,,,,
Financing - Other,FinancialTerm,financial_term,financialterm10,"{table: :financial_term, code: ' financialterm10', label: 'Other '},","'financialterm10' => 'Financing - Other',",,,,,,,
Fireplace Type - Electric,FireplaceType,fireplace_type,fireplace1,"{table: :fireplace_type, code: ' fireplace1', label: 'Electric '},","'fireplace1' => 'Fireplace Type - Electric',",,,,,,,
Fireplace Type - Gas,FireplaceType,fireplace_type,fireplace2,"{table: :fireplace_type, code: ' fireplace2', label: 'Gas '},","'fireplace2' => 'Fireplace Type - Gas',",,,,,,,
Fireplace Type - Wood,FireplaceType,fireplace_type,fireplace3,"{table: :fireplace_type, code: ' fireplace3', label: 'Wood '},","'fireplace3' => 'Fireplace Type - Wood',",,,,,,,
