,Leases and Permits - None,ExteriorFeature,exterior_feature,exteriorfeature63,"{table: :exterior_feature, code: ' exteriorfeature63', label: 'None '},"
,Leases and Permits - Other-See Remarks,ExteriorFeature,exterior_feature,exteriorfeature64,"{table: :exterior_feature, code: ' exteriorfeature64', label: 'Other-See Remarks '},"
,,,,,
Commercial Features ,Commercial Features - Dock,ExteriorFeature,exterior_feature,exteriorfeature65,"{table: :exterior_feature, code: ' exteriorfeature65', label: 'Dock '},"
,Commercial Features - Rail Spur,ExteriorFeature,exterior_feature,exteriorfeature66,"{table: :exterior_feature, code: ' exteriorfeature66', label: 'Rail Spur '},"
,,,,,
Miscellaneous ,Miscellaneous - P & L/Cash Flow Available,ExteriorFeature,exterior_feature,exteriorfeature67,"{table: :exterior_feature, code: ' exteriorfeature67', label: 'P & L/Cash Flow Available '},"
,Miscellaneous - Licenses/Permits Required,ExteriorFeature,exterior_feature,exteriorfeature68,"{table: :exterior_feature, code: ' exteriorfeature68', label: 'Licenses/Permits Required '},"
,Miscellaneous - Seller Will Train,ExteriorFeature,exterior_feature,exteriorfeature69,"{table: :exterior_feature, code: ' exteriorfeature69', label: 'Seller Will Train '},"
,Miscellaneous - Franchise,ExteriorFeature,exterior_feature,exteriorfeature70,"{table: :exterior_feature, code: ' exteriorfeature70', label: 'Franchise '},"
,Miscellaneous - Building Currently Leased,ExteriorFeature,exterior_feature,exteriorfeature71,"{table: :exterior_feature, code: ' exteriorfeature71', label: 'Building Currently Leased '},"
,Miscellaneous - Environmental Study,ExteriorFeature,exterior_feature,exteriorfeature72,"{table: :exterior_feature, code: ' exteriorfeature72', label: 'Environmental Study '},"
,Miscellaneous - Highway Frontage,ExteriorFeature,exterior_feature,exteriorfeature73,"{table: :exterior_feature, code: ' exteriorfeature73', label: 'Highway Frontage '},"
,Miscellaneous - Main Street Frontage,ExteriorFeature,exterior_feature,exteriorfeature74,"{table: :exterior_feature, code: ' exteriorfeature74', label: 'Main Street Frontage '},"
,Miscellaneous - Soil Test,ExteriorFeature,exterior_feature,exteriorfeature75,"{table: :exterior_feature, code: ' exteriorfeature75', label: 'Soil Test '},"
,Miscellaneous - Seller to Sign Non-Compete,ExteriorFeature,exterior_feature,exteriorfeature76,"{table: :exterior_feature, code: ' exteriorfeature76', label: 'Seller to Sign Non-Compete '},"
,Miscellaneous - Other Structures,ExteriorFeature,exterior_feature,exteriorfeature77,"{table: :exterior_feature, code: ' exteriorfeature77', label: 'Other Structures '},"
,Miscellaneous - Special Assessments,ExteriorFeature,exterior_feature,exteriorfeature78,"{table: :exterior_feature, code: ' exteriorfeature78', label: 'Special Assessments '},"
,Miscellaneous - None,ExteriorFeature,exterior_feature,exteriorfeature79,"{table: :exterior_feature, code: ' exteriorfeature79', label: 'None '},"
,,,,,
Disclosures,Disclosures - Yes,ExteriorType,exterior_feature,exteriorfeature53,"{table: :exterior_feature, code: ' exteriorfeature53', label: 'Yes '},"
,,,,,
Financing,Financing - Cash,FinancialTerm,financial_term,financialterm1,"{table: :financial_term, code: ' financialterm1', label: 'Cash '},"
,Financing - VA,FinancialTerm,financial_term,financialterm2,"{table: :financial_term, code: ' financialterm2', label: 'VA '},"
,Financing - FHA,FinancialTerm,financial_term,financialterm3,"{table: :financial_term, code: ' financialterm3', label: 'FHA '},"
,Financing - Owner,FinancialTerm,financial_term,financialterm4,"{table: :financial_term, code: ' financialterm4', label: 'Owner '},"
,Financing - USDA,FinancialTerm,financial_term,financialterm5,"{table: :financial_term, code: ' financialterm5', label: 'USDA '},"
,Financing - Assumable,FinancialTerm,financial_term,financialterm6,"{table: :financial_term, code: ' financialterm6', label: 'Assumable '},"
,Financing - Conventional,FinancialTerm,financial_term,financialterm7,"{table: :financial_term, code: ' financialterm7', label: 'Conventional '},"
,Financing - WCDA,FinancialTerm,financial_term,financialterm8,"{table: :financial_term, code: ' financialterm8', label: 'WCDA '},"
,Financing - 1031,FinancialTerm,financial_term,financialterm9,"{table: :financial_term, code: ' financialterm9', label: '1031 '},"
,Financing - Other,FinancialTerm,financial_term,financialterm10,"{table: :financial_term, code: ' financialterm10', label: 'Other '},"
,,,,,
Fireplace Type,Fireplace Type - Electric,FireplaceType,fireplace_type,fireplace1,"{table: :fireplace_type, code: ' fireplace1', label: 'Electric '},"
,Fireplace Type - Gas,FireplaceType,fireplace_type,fireplace2,"{table: :fireplace_type, code: ' fireplace2', label: 'Gas '},"
,Fireplace Type - Wood,FireplaceType,fireplace_type,fireplace3,"{table: :fireplace_type, code: ' fireplace3', label: 'Wood '},"
,Fireplace Type - None,FireplaceType,fireplace_type,fireplace4,"{table: :fireplace_type, code: ' fireplace4', label: 'None '},"
,,,,,
Heating Stove Type,Heating Stove Type - Coal,HeatingType,heating_type,heating1,"{table: :heating_type, code: ' heating1', label: 'Coal '},"
,Heating Stove Type - Corn,HeatingType,heating_type,heating2,"{table: :heating_type, code: ' heating2', label: 'Corn'},"
,Heating Stove Type - Electric,HeatingType,heating_type,heating3,"{table: :heating_type, code: ' heating3', label: 'Electric '},"
,Heating Stove Type - Gas,HeatingType,heating_type,heating4,"{table: :heating_type, code: ' heating4', label: 'Gas'},"
,Heating Stove Type - Pellet,HeatingType,heating_type,heating5,"{table: :heating_type, code: ' heating5', label: 'Pellet'},"
,Heating Stove Type - Wood,HeatingType,heating_type,heating6,"{table: :heating_type, code: ' heating6', label: 'Wood'},"
,Heating Stove Type - None,HeatingType,heating_type,heating7,"{table: :heating_type, code: ' heating7', label: 'None'},"
,,,,,
