SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique
ROOM_UT_room_level,"",Utility Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_WN_room_length,"",Wine Room Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_WN_room_width,"",Wine Room Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_WN_room_rem,"",Wine Room Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_WN_room_level,"",Wine Room Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_WS_room_length,"",Workshop Length,"",Length,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_WS_room_width,"",Workshop Width,"",Width,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_WS_room_rem,"",Workshop Room Remarks,"",Room Remarks,50,Character,"",0,"","","","","","","","","","","",0,"",0
ROOM_WS_room_level,"",Workshop Room Level,"",Room Level,50,Character,"",0,"","","","","","","","","","","",0,"",0
listing_member_shortid,"",ListingMemberShortId,"",ListMbrShort,15,Character,"",0,"","","","","","","","","","","",0,"",0
colisting_member_shortid,"",CoListingMemberShortId,"",CoListMbrShort,15,Character,"",0,"","","","","","","","","","","",0,"",0
selling_member_shortid,"",SellingMemberShortId,"",SellMbrShort,15,Character,"",0,"","","","","","","","","","","",0,"",0
coselling_member_shortid,"",CoSellingMemberShortId,"",CoSellMbrShort,15,Character,"",0,"","","","","","","","","","","",0,"",0
listing_office_shortid,"",ListingOfficeShortId,"",ListOffShort,15,Character,"",0,"","","","","","","","","","","",0,"",0
selling_office_shortid,"",SellingOfficeShortId,"",SellOffShort,15,Character,"",0,"","","","","","","","","","","",0,"",0
colisting_office_shortid,"",CoListingOfficeShortId,"",CoListOffShort,15,Character,"",0,"","","","","","","","","","","",0,"",0
coselling_office_shortid,"",CoSellingOfficeShortId,"",CoSellOffShort,15,Character,"",0,"","","","","","","","","","","",0,"",0
listing_member_name,"",ListingMemberName,"",ListMbrName,72,Character,"",0,"","","","","","","","","","","",0,"",0
colisting_member_name,"",CoListingMemberName,"",CoListMbrName,72,Character,"",0,"","","","","","","","","","","",0,"",0
selling_member_name,"",SellingMemberName,"",SellMbrName,72,Character,"",0,"","","","","","","","","","","",0,"",0
coselling_member_name,"",CoSellingMemberName,"",CoSellMbrName,72,Character,"",0,"","","","","","","","","","","",0,"",0
listing_office_name,"",ListingOfficeName,"",ListOfcName,150,Character,"",0,"","","","","","","","","","","",0,"",0
selling_office_name,"",SellingOfficeName,"",SellOfcName,150,Character,"",0,"","","","","","","","","","","",0,"",0
colisting_office_name,"",CoListingOfficeName,"",CoListOfcName,150,Character,"",0,"","","","","","","","","","","",0,"",0
coselling_office_name,"",CoSellingOfficeName,"",CoSellOfcName,150,Character,"",0,"","","","","","","","","","","",0,"",0
listing_member_phone,"",ListingMemberPhone,"",ListMbrPhone,25,Character,"",0,"","","","","","","","","","","",0,"",0
